State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Name_x,County Name_x,Avg Concentration,Max Concentration,90th Percentile Conc,Median Concentration,10th Percentile Conc,State Name_y,County Name_y,New Avg Concentration,New Max Concentration,New 90th Percentile Conc,New Median Concentration,New 10th Percentile Conc
Alaska,Aleutians East ,2021.0,118.0,117.0,1.0,0.0,0.0,0.0,0.0,51.0,29.0,13.0,0.0,0.0,0.0,118.0,0.0,Alaska,Aleutians East ,0.3675094782608696,20.705,0.7030980434782608,0.3115908695652174,0.1118108695652174,Alaska,Aleutians East ,0.3675094782608696,20.705,0.7030980434782608,0.3115908695652174,0.1118108695652174
Alaska,Anchorage ,2021.0,365.0,289.0,74.0,2.0,0.0,0.0,0.0,132.0,57.0,28.0,2.0,0.0,0.0,277.0,86.0,Alaska,Anchorage ,10.534794833333333,913.0,20.538833333333333,7.2945,2.6951034482758622,Alaska,Anchorage ,10.534794833333333,913.0,20.538833333333333,7.2945,2.6951034482758622
Alaska,Denali ,2021.0,363.0,360.0,3.0,0.0,0.0,0.0,0.0,74.0,41.0,33.0,0.0,0.0,360.0,3.0,0.0,Alaska,Denali ,5.640432431034482,360.0,9.606845689655172,5.540403620689656,1.6251939655172414,Alaska,Denali ,5.640432431034482,360.0,9.606845689655172,5.540403620689656,1.6251939655172414
Alaska,Fairbanks North Star ,2021.0,365.0,211.0,120.0,21.0,13.0,0.0,0.0,189.0,97.0,42.0,0.0,0.0,66.0,298.0,1.0,Alaska,Fairbanks North Star ,61.485650438756856,1440.0,73.57078436928703,59.85715062157221,53.01521244813278,Alaska,Fairbanks North Star ,61.485650438756856,1440.0,73.57078436928703,59.85715062157221,53.01521244813278
Alaska,Juneau ,2021.0,357.0,315.0,42.0,0.0,0.0,0.0,0.0,89.0,53.0,20.0,0.0,0.0,0.0,353.0,4.0,Alaska,Juneau ,105.70255432876712,1439.0,109.18356164383562,135.90714285714287,133.15357142857144,Alaska,Juneau ,105.70255432876712,1439.0,109.18356164383562,135.90714285714287,133.15357142857144
Alaska,Kenai Peninsula ,2021.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,41.0,19.0,9.0,0.0,0.0,0.0,121.0,0.0,Alaska,Kenai Peninsula ,0.3806644347826087,29.744,0.7762008695652175,0.2848817391304347,0.0988186956521739,Alaska,Kenai Peninsula ,0.38066443478260875,29.744,0.7762008695652175,0.28488173913043474,0.09881869565217391
Alaska,Matanuska-Susitna ,2021.0,354.0,307.0,44.0,2.0,1.0,0.0,0.0,163.0,54.0,15.0,0.0,0.0,0.0,300.0,54.0,Alaska,Matanuska-Susitna ,118.8187784631579,1440.0,122.293632,118.16395873684212,84.92071627906977,Alaska,Matanuska-Susitna ,118.8187784631579,1440.0,122.29363199999999,118.16395873684212,84.92071627906977
Alaska,North Slope ,2021.0,114.0,113.0,1.0,0.0,0.0,0.0,0.0,53.0,15.0,5.0,0.0,0.0,0.0,114.0,0.0,Alaska,North Slope ,0.1741740217391304,15.096,0.407375,0.1026002173913043,0.0275934782608695,Alaska,North Slope ,0.17417402173913044,15.096,0.407375,0.10260021739130436,0.027593478260869563
Arizona,Apache,2021.0,359.0,353.0,6.0,0.0,0.0,0.0,0.0,90.0,30.0,15.0,0.0,0.0,0.0,67.0,292.0,Arizona,Apache,1.7542647076923077,147.0,3.555286153846154,1.2979686153846153,0.4039461538461538,Arizona,Apache,1.7542647076923077,147.0,3.555286153846154,1.2979686153846153,0.40394615384615384
Arizona,Cochise,2021.0,365.0,259.0,104.0,2.0,0.0,0.0,0.0,105.0,60.0,45.0,0.0,0.0,307.0,2.0,56.0,Arizona,Cochise,6.889103532258065,1428.0,11.843800322580645,5.689501612903226,2.952572096774193,Arizona,Cochise,6.889103532258065,1428.0,11.843800322580645,5.689501612903226,2.9525720967741935
Arizona,Coconino,2021.0,365.0,265.0,100.0,0.0,0.0,0.0,0.0,93.0,64.0,46.0,0.0,0.0,356.0,9.0,0.0,Arizona,Coconino,2.8097669357798165,360.0,5.437308440366972,2.72137,0.4715464220183485,Arizona,Coconino,2.8097669357798165,360.0,5.437308440366972,2.72137,0.47154642201834857
Arizona,Gila,2021.0,365.0,239.0,116.0,8.0,2.0,0.0,0.0,180.0,80.0,46.0,0.0,0.0,341.0,4.0,20.0,Arizona,Gila,89.28155683838385,1823.0,92.33346434343434,77.06435505263158,62.97744868131869,Arizona,Gila,89.28155683838385,1823.0,92.33346434343434,77.06435505263158,62.977448681318684
Arizona,La Paz,2021.0,362.0,254.0,107.0,0.0,1.0,0.0,0.0,187.0,71.0,46.0,0.0,0.0,351.0,7.0,4.0,Arizona,La Paz,4.377281666666667,1027.0,7.6164,3.56,1.3173333333333332,Arizona,La Paz,4.377281666666667,1027.0,7.6164,3.56,1.3173333333333332
Arizona,Maricopa,2021.0,365.0,12.0,128.0,91.0,61.0,73.0,0.0,297.0,213.0,122.0,0.0,0.0,295.0,27.0,43.0,Arizona,Maricopa,19.3838891532882,4712.0,30.024764985493228,18.88252069699903,9.287742330415757,Arizona,Maricopa,19.383889153288198,4712.0,30.024764985493228,18.88252069699903,9.287742330415755
Arizona,Mohave,2021.0,363.0,360.0,2.0,0.0,1.0,0.0,0.0,156.0,34.0,19.0,0.0,0.0,0.0,2.0,361.0,Arizona,Mohave,1.188863270833333,798.0,2.0563825,0.99823875,0.3899408333333333,Arizona,Mohave,1.1888632708333333,798.0,2.0563825000000002,0.9982387500000001,0.38994083333333335
Arizona,Navajo,2021.0,365.0,292.0,72.0,1.0,0.0,0.0,0.0,101.0,61.0,44.0,0.0,0.0,337.0,4.0,24.0,Arizona,Navajo,6.069828559322034,360.0,10.264397118644068,5.863898983050847,2.484274406779661,Arizona,Navajo,6.069828559322034,360.0,10.264397118644068,5.863898983050847,2.484274406779661
Arizona,Pima,2021.0,365.0,93.0,258.0,13.0,0.0,0.0,1.0,313.0,85.0,56.0,0.0,0.0,147.0,145.0,73.0,Arizona,Pima,25.66728309310345,4480.0,31.793555982758622,24.62019096551724,17.507958415300546,Arizona,Pima,25.667283093103446,4480.0,31.793555982758622,24.620190965517242,17.507958415300546
